,-0.125854
ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x158c
load:0x403c8700,len:0xd24
load:0x403cb700,len:0x2f34
entry 0x403c8924
I (24) boot: ESP-IDF -128-NOTFOUND 2nd stage bootloader
I (25) boot: compile time Apr 20 2026 11:22:55
I (25) boot: Multicore bootloader
I (26) boot: chip revision: v0.2
I (28) boot: efuse block revision: v1.3
I (32) boot.esp32s3: Boot SPI Speed : 80MHz
I (36) boot.esp32s3: SPI Mode       : DIO
I (39) boot.esp32s3: SPI Flash Size : 8MB
I (43) boot: Enabling RNG early entropy source...
I (48) boot: Partition Table:
I (50) boot: ## Label            Usage          Type ST Offset   Length
I (57) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (63) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (70) boot:  2 factory          factory app      00 00 00010000 00100000
I (76) boot: End of partition table
I (80) esp_image: segment 0: paddr=00010020 vaddr=3c020020 size=0e844h ( 59460) map
I (97) esp_image: segment 1: paddr=0001e86c vaddr=3fc94e00 size=017ach (  6060) load
I (99) esp_image: segment 2: paddr=00020020 vaddr=42000020 size=1c788h (116616) map
I (122) esp_image: segment 3: paddr=0003c7b0 vaddr=3fc965ac size=015d4h (  5588) load
I (124) esp_image: segment 4: paddr=0003dd8c vaddr=40374000 size=10d20h ( 68896) load
I (141) esp_image: segment 5: paddr=0004eab4 vaddr=50000000 size=00020h (    32) load
I (148) boot: Loaded app from partition at offset 0x10000
I (148) boot: Disabling RNG early entropy source...
I (159) cpu_start: Multicore app
I (167) cpu_start: GPIO 44 and 43 are used as console UART I/O pins
I (168) cpu_start: Pro cpu start user code
I (168) cpu_start: cpu freq: 160000000 Hz
I (170) app_init: Application information:
I (173) app_init: Project name:     ESP32_IMU_setup_NEW
I (178) app_init: App version:      90b41be-dirty
I (183) app_init: Compile time:     Apr 22 2026 13:48:19
I (188) app_init: ELF file SHA256:  91e4e20bf...
I (192) app_init: ESP-IDF:          -128-NOTFOUND
I (197) efuse_init: Min chip rev:     v0.0
I (200) efuse_init: Max chip rev:     v0.99 
I (204) efuse_init: Chip rev:         v0.2
I (208) heap_init: Initializing. RAM available for dynamic allocation:
I (215) heap_init: At 3FC9E2D0 len 0004B440 (301 KiB): RAM
I (220) heap_init: At 3FCE9710 len 00005724 (21 KiB): RAM
I (225) heap_init: At 3FCF0000 len 00008000 (32 KiB): DRAM
I (230) heap_init: At 600FE000 len 00001FE8 (7 KiB): RTCRAM
I (236) spi_flash: detected chip: gd
I (239) spi_flash: flash io: dio
I (242) sleep_gpio: Configure to isolate all GPIO pins in sleep state
I (248) sleep_gpio: Enable automatic switching of GPIO sleep configuration
I (255) coexist: coex firmware version: 7260f71
I (259) coexist: coexist rom version e7ae62f
I (263) main_task: Started on CPU0
I (286) main_task: Calling app_main()
I (286) MAIN: Starter IMU drift-test
I (3560) main_task: Returned from app_main()
t_us,gx_raw,gy_raw,gz_raw,gx_corr,gy_corr,gz_corr
4256925,4,-7,-3,0.184448,0.013428,0.067505
4260741,3,-7,-4,0.123413,0.013428,0.006470
4264564,1,-7,-4,0.001343,0.013428,0.006470
4268379,1,-7,-6,0.001343,0.013428,-0.115601
4272288,2,-7,-2,0.062378,0.013428,0.128540
4276108,2,-7,-2,0.062378,0.013428,0.128540
4279926,1,-8,-4,0.001343,-0.047607,0.006470
4283832,3,-9,-4,0.123413,-0.108643,0.006470
4287738,1,-8,-3,0.001343,-0.047607,0.067505
4291640,1,-7,-4,0.001343,0.013428,0.006470
4295463,1,-7,-4,0.001343,0.013428,0.006470
4299278,0,-7,-2,-0.059692,0.013428,0.128540
4303188,2,-10,-3,0.062378,-0.169678,0.067505
4307177,1,-8,-2,0.001343,-0.047607,0.128540
4311093,1,-8,-2,0.001343,-0.047607,0.128540
4314988,1,-10,-2,0.001343,-0.169678,0.128540
4318985,1,-8,-4,0.001343,-0.047607,0.006470
4322887,1,-9,-3,0.001343,-0.108643,0.067505
4326797,2,-7,-4,0.062378,0.013428,0.006470
4330612,2,-7,-4,0.062378,0.013428,0.006470
4334435,3,-10,-4,0.123413,-0.169678,0.006470
4338424,3,-9,-6,0.123413,-0.108643,-0.115601
4342420,0,-6,-4,-0.059692,0.074463,0.006470
4346325,0,-7,-4,-0.059692,0.013428,0.006470
4350232,0,-7,-4,-0.059692,0.013428,0.006470
4354134,0,-8,-2,-0.059692,-0.047607,0.128540
4358131,0,-6,-2,-0.059692,0.074463,0.128540
4362032,1,-6,-5,0.001343,0.074463,-0.054565
4365942,1,-10,-2,0.001343,-0.169678,0.128540
4369931,1,-10,-2,0.001343,-0.169678,0.128540
4373927,1,-8,-2,0.001343,-0.047607,0.128540
4377832,2,-6,-5,0.062378,0.074463,-0.054565
4381739,2,-7,-4,0.062378,0.013428,0.006470
4385555,0,-6,-6,-0.059692,0.074463,-0.115601
4389551,0,-6,-6,-0.059692,0.074463,-0.115601
4393540,3,-8,-6,0.123413,-0.047607,-0.115601
4397536,4,-9,-2,0.184448,-0.108643,0.128540
4401438,1,-7,-4,0.001343,0.013428,0.006470
4405261,0,-8,-6,-0.059692,-0.047607,-0.115601
4409337,0,-8,-6,-0.059692,-0.047607,-0.115601
4413420,1,-10,-5,0.001343,-0.169678,-0.054565
4417496,1,-8,-4,0.001343,-0.047607,0.006470
4421405,0,-6,-2,-0.059692,0.074463,0.128540
4425307,2,-7,-5,0.062378,0.013428,-0.054565
4429217,2,-7,-5,0.062378,0.013428,-0.054565
4433119,0,-6,-5,-0.059692,0.074463,-0.054565
4437116,-1,-8,-4,-0.120728,-0.047607,0.006470
4441191,0,-8,-4,-0.059692,-0.047607,0.006470
4445188,0,-7,-5,-0.059692,0.013428,-0.054565
4449177,0,-7,-5,-0.059692,0.013428,-0.054565
4453173,1,-8,-7,0.001343,-0.047607,-0.176636
4457162,1,-7,-6,0.001343,0.013428,-0.115601
4461079,1,-8,-3,0.001343,-0.047607,0.067505
4464973,2,-8,-3,0.062378,-0.047607,0.067505
4468883,2,-8,-3,0.062378,-0.047607,0.067505
4472785,-1,-9,-3,-0.120728,-0.108643,0.067505
